source_format,input_field,candidate_unified_field,candidate_rule,confidence,review_note
OpenSky,"source_format","source","常量字符串 OpenSky",1.0,"候选来源标记"
OpenSky,"target_id","track_id","按字符串映射；保留前导 0；转换为小写；不进行数值解析",1.0,"候选直接映射"
OpenSky,"latest_time","timestamp","直接映射为 integer Unix seconds；不进行单位转换",1.0,"材料明确为 Unix 秒级时间戳"
OpenSky,"callsign","identity.callsign","非空时映射为 string；输入为空时映射为 null",1.0,"材料未规定额外空白字符清理规则"
OpenSky,"lat","position.lat","非空时直接映射，单位 degree；输入为空时映射为 null",1.0,"无比例因子或偏置"
OpenSky,"lon","position.lon","非空时直接映射，单位 degree；输入为空时映射为 null",1.0,"无比例因子或偏置"
OpenSky,"altitude","position.alt","非空时直接映射，单位 m；输入为空时映射为 null",1.0,"无比例因子或偏置"
OpenSky,"alt_type+altitude","position.alt_type","altitude 非空时映射 alt_type 的 barometric 或 geometric；altitude 为空时映射 unknown",1.0,"字段组合用于明确高度为空时的类型策略"
OpenSky,"speed","motion.speed","非空时直接映射，单位 m/s；输入为空时映射为 null",1.0,"无比例因子或偏置"
OpenSky,"heading","motion.heading","非空时直接映射，单位 degree；输入为空时映射为 null",1.0,"材料未给出额外范围校验规则"
OpenSky,"vertical_rate","motion.vertical_rate","非空时直接映射，单位 m/s；输入为空时映射为 null",1.0,"无比例因子或偏置"
OpenSky,"on_ground","status.on_ground","直接映射为 boolean",1.0,"候选直接映射"
OpenSky,"time_source","quality.time_source","直接映射枚举 position_time 或 last_contact_fallback",1.0,"候选直接映射"
OpenSky,"lat+lon","quality.position_valid","UNRESOLVED",0.35,"材料仅说明 lat 和 lon 可为空，未定义 position_valid 是要求两者均非空、任一非空，还是还需结合其他质量条件"
OpenSky,"latest_time","quality.time_valid","UNRESOLVED",0.2,"缺少时间有效性的判定条件，例如允许范围、未来时间容差、陈旧阈值或是否仅检查字段存在和类型"
OpenSky,"message_valid","quality.message_valid","直接映射为 boolean；仅表示消息结构和校验是否通过，不解释为来源真实、可信或飞行安全",1.0,"严格限制语义范围"
OpenSky,"message_valid+lat+lon+altitude+speed+heading+vertical_rate+latest_time","quality.anomaly_flags","UNRESOLVED",0.1,"缺少异常标志名称、触发条件、优先级及是否根据空值、范围或 message_valid 生成标志的规范"
TeachingLink,"source_format","source","常量字符串 TeachingLink",1.0,"候选来源标记"
TeachingLink,"target_id","track_id","将 6 位十六进制标识按字符串映射；保留前导 0；候选规范化为小写；不进行数值解析",0.9,"材料明确为 6 位十六进制标识，但未明确大小写规范是否与 OpenSky 相同，需人工确认"
TeachingLink,"latest_time","timestamp","直接映射为 integer Unix seconds；不进行单位转换",1.0,"材料明确为 Unix 秒级时间戳"
TeachingLink,"callsign+validity_flags.bit6","identity.callsign","bit6=0 时映射 null；bit6=1 时移除 8 字节定长文本尾部补 0 后映射为 string；去除补 0 后为空则候选映射 null",0.9,"尾部补 0 的清理明确；空文本最终是否必须为 null 仍需人工确认"
TeachingLink,"latitude_code+validity_flags.bit0","position.lat","bit0=0 时映射 null；bit0=1 时计算 latitude_code/(2^22-1)*180-90，单位 degree",1.0,"不能把 latitude_code=0 自动当作物理值 0；有效时该编码对应 -90 degree"
TeachingLink,"longitude_code+validity_flags.bit1","position.lon","bit1=0 时映射 null；bit1=1 时计算 longitude_code/(2^22-1)*360-180，单位 degree",1.0,"不能把 longitude_code=0 自动当作物理值 0；有效时该编码对应 -180 degree"
TeachingLink,"altitude_code+validity_flags.bit2","position.alt","bit2=0 时映射 null；bit2=1 时计算 altitude_code-1000，单位 m",1.0,"比例因子为 1，偏置为 -1000 m；编码 0 仅在有效位为 1 时表示 -1000 m"
TeachingLink,"status_flags.bit1+validity_flags.bit2","position.alt_type","validity_flags.bit2=0 时映射 unknown；bit2=1 且 status_flags.bit1=1 时映射 geometric；bit2=1 且 status_flags.bit1=0 时映射 barometric",1.0,"高度无效时不使用状态位赋予具体高度类型"
TeachingLink,"speed_code+validity_flags.bit3","motion.speed","bit3=0 时映射 null；bit3=1 时计算 speed_code*0.1，单位 m/s",1.0,"比例因子为 0.1 m/s；编码 0 仅在有效位为 1 时表示 0 m/s"
TeachingLink,"heading_code+validity_flags.bit4","motion.heading","bit4=0 时映射 null；bit4=1 时计算 heading_code*0.01，单位 degree；计算结果必须小于 360",1.0,"编码 0 仅在有效位为 1 时表示 0 degree；结果不小于 360 时的处置方式未由材料规定"
TeachingLink,"vertical_rate_code+validity_flags.bit5","motion.vertical_rate","bit5=0 时映射 null；bit5=1 时计算 vertical_rate_code*0.01-327.68，单位 m/s",1.0,"比例因子为 0.01 m/s，偏置为 -327.68 m/s；编码 0 仅在有效位为 1 时表示 -327.68 m/s"
TeachingLink,"status_flags.bit0","status.on_ground","bit0=1 时映射 true；bit0=0 时映射 false",1.0,"仅使用材料给定的状态位含义"
TeachingLink,"status_flags.bit2","quality.time_source","bit2=1 时映射 last_contact_fallback；bit2=0 时映射 position_time",1.0,"仅使用材料给定的状态位含义"
TeachingLink,"validity_flags.bit0+validity_flags.bit1","quality.position_valid","候选规则：bit0=1 且 bit1=1 时为 true，否则为 false",0.65,"材料未明确定义统一模型 position_valid；此候选将完整经纬度对视为有效位置，需人工确认是否还应结合 message_valid 或范围检查"
TeachingLink,"latest_time+status_flags.bit2","quality.time_valid","UNRESOLVED",0.2,"time_source 只能说明时间来源；缺少时间字段有效性、范围、未来时间容差和陈旧阈值的判定规范"
TeachingLink,"message_valid","quality.message_valid","直接映射为 boolean；仅表示消息结构、长度、校验和及保留位检查是否通过，不解释为来源真实、可信或飞行安全",1.0,"严格限制语义范围"
TeachingLink,"validity_flags.bit7+status_flags.bit3-bit7+message_valid","quality.anomaly_flags","UNRESOLVED",0.25,"材料规定保留位应为 0 且其检查纳入 message_valid，但未规定 anomaly_flags 的标志名称、是否逐位记录或 message_valid=false 时如何生成数组"
TeachingLink,"heading_code+validity_flags.bit4","quality.anomaly_flags","UNRESOLVED",0.3,"材料要求有效航向恢复结果小于 360，但未规定越界时应添加的异常标志名称、是否将 motion.heading 置 null 或如何影响 message_valid"
TeachingLink,"latitude_code+longitude_code+altitude_code+speed_code+heading_code+vertical_rate_code+validity_flags","quality.anomaly_flags","UNRESOLVED",0.1,"缺少各物理量范围异常、编码异常和无效位对应非零编码是否需要记录的规则；不能自行创建异常语义"
